limb,mean_z,std_z,min_z,max_z
left_shoulder,0.2165,0.0000,0.2165,0.2165
right_shoulder,0.2166,0.0000,0.2166,0.2166
left_upper_arm,0.2075,0.0000,0.2075,0.2075
right_upper_arm,0.2076,0.0000,0.2076,0.2076
left_elbow,0.1399,0.0000,0.1399,0.1399
right_elbow,0.1400,0.0000,0.1400,0.1400
left_knee,0.0246,0.0000,0.0246,0.0246
right_knee,0.0247,0.0000,0.0247,0.0247
left_foot,0.0779,0.0000,0.0779,0.0779
right_foot,0.0777,0.0000,0.0777,0.0777
head,0.2422,0.0000,0.2422,0.2422
torso,0.1468,0.0000,0.1468,0.1468
left_hand,0.1399,0.0000,0.1399,0.1399
right_hand,0.1400,0.0000,0.1400,0.1400
